,Lead ID,Lead Source,Lead Channel,Created By,Lead Owner,Mobile - Primary,Business Phone_x,First Name,Last Name,Company / Account,Menu Type,State/Province,Country,Latest Re-engaged Date,Latest Campaign,Created Date,WeChat External Id,Lead Status,Lead Stage,Unqualified Reason,Rejected Reason,Opportunity: Created Date,Opportunity ID,Opportunity: Account,Stage,Oppt Close Date,Restaurant ID,Action,Match By,Cuisine Type,State,Business Phone_y,Snowball Map,Business Phone,Session Date,submit_form
11,00Q8b000025KsDE,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hakka Chinese Kitchen,Chinese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Indian; Chinese,ON,,45003.0,2266634440,10/10/2023,False
12,00Q8b000025KtEk,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hojo's Sushi Burrito,Japanese,PE,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,PE,,44897.0,9026208668,10/11/2023,False
13,00Q8b000025KtDI,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Momo Magic,Chinese; Japanese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,American; Japanese; Chinese,ON,,44854.0,5199320459,10/12/2023,False
14,00Q8b000025Kt4H,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hanabi Sushi,Japanese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,ON,,44566.0,5196729224,10/14/2023,False
15,00Q8b000025Kt8X,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hockey Sushi,Japanese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,Scan,Business Phone,Japanese,ON,,43355.0,6134212221,10/10/2023,False
16,00Q8b000025Kt3Z,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Kung Pao Wok,Chinese,AB,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,American Chinese,AB,,43256.0,5874250746,10/11/2023,False
17,00Q8b000025Kt3X,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hansik,Japanese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Korean; Japanese,ON,,42967.0,8673364477,10/12/2023,False
18,00Q8b000025Kt1R,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Golden Chinese Food Restaurant,Chinese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Working,Not sure if Ideal Client Profile,,,,,,,,,Scan,Business Phone,Chinese,ON,,42454.0,5194853801,10/10/2023,False
19,00Q8b000025KrXC,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Minato Sushi,Japanese,BC,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,American Chinese,BC,,44964.0,6047326554,10/3/2023,False
20,00Q8b000025KrXB,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Arashi Sushi,Japanese,AB,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,AB,,44244.0,4034552166,10/4/2023,False
21,00Q8b000025Kr0H,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,SHIAWASE SUSHI,Japanese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,ON,,44157.0,9059531212,10/3/2023,False
22,00Q8b000025KrTx,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Pokito,Japanese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,ON,,43611.0,4167928808,10/4/2023,False
23,00Q8b000025KrEv,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Di Bao Ming Yan NKS Banquet Hall,Chinese,ON,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Chinese,ON,,42624.0,9059488668,10/4/2023,False
24,00Q8b000025Kqo4,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hong Hing Company,Chinese,MB,Canada,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Working,Not sure if Ideal Client Profile,,,,,,,,,Scan,Business Phone,Chinese,MB,,44912.0,2047742574,10/6/2023,False
25,00Q8b000025Kqkv,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Poy's Kitchen,Chinese; Thai,NJ,United States,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Chinese; Thai,NJ,,38923.0,9738215028,10/6/2023,False
26,00Q8b000025KqVg,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Northern Kitchen,Chinese,MN,United States,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,Scan,Business Phone,Chinese,MN,,30088.0,9524568681,10/2/2023,False
27,00Q8b000025KpWO,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Cholula's Hibachi Grill,Japanese,AZ,United States,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,AZ,,29156.0,4804544729,10/8/2023,False
28,00Q8b000025KojY,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Hungry Sumo habachi house,Japanese,TN,United States,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,TN,,27480.0,6462870871,10/5/2023,False
29,00Q8b000025KojX,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Chen's Diner Inc,Chinese,NY,United States,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,American Chinese,NY,,26363.0,7184712999,10/2/2023,False
30,00Q8b000025Kp8v,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Snack Shack,Cajun,NY,United States,10/30/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/30/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,American; Cajun,NY,,23711.0,5856858008,10/5/2023,False
31,00Q8b000025Y8HH,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,The Clouds Vietnamese Cuisine,Chinese; Japanese; Thai,BC,Canada,10/17/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/17/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Korean; Japanese; Vietnamese; Chinese; Thai,BC,,42414.0,6043217777,10/10/2023,False
32,00Q8b000025Y8DK,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Usagi Sushi,Japanese,ON,Canada,10/17/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/17/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,ON,,42331.0,4167692264,10/12/2023,False
33,00Q8b000025Y8Az,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Shang Palace Hakka Cuisine,Chinese,ON,Canada,10/17/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/17/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Chinese,ON,,41564.0,9054538889,10/11/2023,False
34,00Q8b000025Y88A,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Chuan Yue,Chinese,BC,Canada,10/17/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/17/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Chinese,BC,,40965.0,6043366238,10/11/2023,False
35,00Q8b000025XsrT,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Don's Dining,Chinese,AB,Canada,10/16/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/16/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Chinese,AB,,39910.0,7805132888,10/15/2023,False
36,00Q8b000025NoJ7,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,El Tiesto Cafe,Japanese,FL,United States,10/9/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/9/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Dominican; Japanese; Caribbean,FL,,18238.0,9549004583,10/2/2023,True
37,00Q8b000025NoUi,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Umai Cafe,Japanese,MI,United States,10/9/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/9/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,Scan,Business Phone,Japanese,MI,,16965.0,2486889340,10/3/2023,False
38,00Q8b000025No1x,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Nom Nom Noodle,Japanese,IL,United States,10/9/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/9/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,IL,,3941.0,3095852402,10/5/2023,False
39,00Q8b000025NnhW,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Akhi Sushi,Japanese,PA,United States,10/9/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/9/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,PA,,3531.0,7173418178,10/4/2023,False
40,00Q8b000025MPH5,Marketing Inbound,DM,JotForm Integration User,Marketing Nurture Queue,2015236952,,,Rodriguez,Unknown,Japanese,GA,United States,10/2/2023,Mkt_DM_Snowflake_OctoberV1,10/2/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,No Match,No Match,,,,,7068695587,,
41,00Q8b000025YRG0,Marketing Inbound,DM; SMS,Goh EeLin,Yaning Wang,8325030453,,,陈小姐,Imperial Pho R86363,Other,TX,United States,10/18/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/18/2023,,Converted,,,,10/20/2023,0068b00001T1ZK8,Imperial Pho R86363,Closed Won,11/19/2023,R86363,No Match,No Match,,,,,3663776380,,
42,00Q8b000025I6oC,Marketing Inbound,DM; WeChat - Blog,JotForm Integration User,Leon Li,3122167339,,Zoe,Lin,Unknown,Chinese,IL,United States,10/19/2023,MKT_WeChatBlog_WeChat_10FreeTrial,10/19/2023,,Converted,,,,10/26/2023,0068b00001T29rY,Unknown,Closed Lost,11/15/2023,,No Match,No Match,,,,,,,
43,00Q8b000025O4fH,Marketing Inbound,DM; GetSKT.com Desktop,JotForm Integration User,Peter Lee,9174205698,,,Wang,Obento R86293,Chinese; Japanese,FL,United States,10/10/2023,Mkt_DM_Snowflake_OctoberV1,10/10/2023,,Converted,,,,10/10/2023,0068b00001Tg9MC,Obento R86293,Onboarded,10/28/2023,R86293,No Match,No Match,,,,,,,
44,00Q8b000025MPH5,Marketing Inbound,DM,JotForm Integration User,Marketing Nurture Queue,2015236952,,,Rodriguez,Unknown,Japanese,GA,United States,10/2/2023,Mkt_DM_Snowflake_OctoberV1,10/2/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,No Match,No Match,,,,,7068695587,,
45,00Q8b000025MORs,Marketing Inbound,DM; Douyin,JotForm Integration User,Leon Li,7854919016,,,郑,ling's express R86319,Chinese,KS,United States,10/2/2023,Mkt_DM_Snowflake_OctoberV2,10/2/2023,,Converted,,,,10/2/2023,0068b00001TBYJZ,ling's express R86319,Closed Won,11/1/2023,R86319,No Match,No Match,,,,,,,
46,00Q8b000025J58h,Marketing Inbound,DM,Shaoxiang Chan,Yaning Wang,9294714007,,,Danny,Unknown,Japanese,TX,United States,,,10/23/2023,,Converted,,,,10/23/2023,0068b00001T1nDb,Unknown,Closed Lost,11/21/2023,,No Match,No Match,,,,,,,
47,00Q8b000025ID5T,Marketing Inbound,DM,Shaoxiang Chan,Leon Li,3475574234,,,翁,chopstick R86331,Chinese,FL,United States,,,10/19/2023,,Converted,,,,10/19/2023,0068b00001T1U8a,chopstick R86331,Onboarded,10/31/2023,R86331,No Match,No Match,,,,,,,
48,00Q8b000025OAKu,Marketing Inbound,DM,Shaoxiang Chan,Peter Lee,8324196496,,,杰克,Hunan Asian Restaurant,Chinese,,,,,10/10/2023,,Converted,,,,10/10/2023,0068b00001TgAkZ,Hunan Asian Restaurant,Proposal/Negotiation,1/19/2024,,No Match,No Match,,,,,,,
49,00Q8b000025NMjR,Marketing Inbound,DM,Shaoxiang Chan,Wonders Lead queue,6265489025,,,干,Unknown,Chinese,WA,United States,10/18/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/6/2023,,AE Assigned,Unqualified,Lead Does Not Have Phone Ordering Business,,,,,,,,No Match,No Match,,,,,,,
50,00Q8b000025JwzW,Marketing Inbound,Client Referral; DM,Yannie Yap,Zhigang Fan,8436379625,,,林,林老板,Chinese,VT,United States,10/27/2023,Mkt_Referral_Internal_General,10/26/2023,,Converted,,,,11/5/2023,006Uo000000S2XM,林老板,Discovery/Demo,12/5/2023,,No Match,No Match,,,,,,,
51,00Q8b000025Nnwm,Marketing Inbound,DM,Yannie Yap,Leon Li,6464096931,,,男老板,张先生,Chinese,,,,,10/9/2023,,Converted,,,,10/9/2023,0068b00001Tg1aC,张先生,Discovery/Demo,11/8/2023,,No Match,No Match,,,,,,,
52,00Q8b000025MbXY,Marketing Inbound,DM; WeChat - Ads,Yannie Yap,Wonders Lead queue,7722654281,,,男老板,男老板,Chinese,FL,United States,10/5/2023,Mkt_WeChatAds_WeChat_General,10/3/2023,,Converted,,,,10/5/2023,0068b00001TfcDt,男老板,Discovery/Demo,11/4/2023,,No Match,No Match,,,,,,,
53,00Q8b000025K0Qy,Marketing Inbound,DM,Goh EeLin,Zhigang Fan,3124780864,,,BEN,UNKNOWN,Chinese,,United States,10/27/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/26/2023,,Converted,,,,10/27/2023,0068b00001T2FVg,UNKNOWN,Discovery/Demo,11/26/2023,,No Match,No Match,,,,,,,
54,00Q8b000025J47B,Marketing Inbound,DM,Goh EeLin,Yaning Wang,6478851325,,,林小姐,Unknown,Japanese,,United States,,,10/23/2023,,Converted,,,,10/23/2023,0068b00001T1oXG,Unknown,Discovery/Demo,11/22/2023,,No Match,No Match,,,,,,,
55,00Q8b000025YRG0,Marketing Inbound,DM; SMS,Goh EeLin,Yaning Wang,8325030453,,,陈小姐,Imperial Pho R86363,Other,TX,United States,10/18/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/18/2023,,Converted,,,,10/20/2023,0068b00001T1ZK8,Imperial Pho R86363,Closed Won,11/19/2023,R86363,No Match,No Match,,,,,3663776380,,
