Snowball Map,ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
47680,027f0995fc8f5d0c,Apple Inn,,2409 Edmonton Trl NE,Calgary,AB,T2E 3M7,Canada,Kie Chun,Tam,,,,,(403) 276-3353,2,,Chinese,$$
47681,02b6f197f966f58d,Jin Noodles,"Mon 11am-9pm, Tue 5pm-9pm, Wed-Sun 11am-9pm",5024 50 Ave,Alberta Beach,AB,T0E 0A0,Canada,,,,,,,(780) 680-8382,0,,Chinese,
47682,03173051ec159edb,Tasty Fusion,,6102 48 Ave,Camrose,AB,T4V 0K5,Canada,,,,,,,(780) 673-3286,0,,Japanese; Thai,$$$
47683,039b41b4bb6e5796,Oriental Palace,"Mon Closed, Tue-Fri 11am-2pm 4:30pm-10pm, Sat 4pm-10:30pm, Sun 4pm-10pm",9 Parkdale Cres NW,Calgary,AB,T2N 3T8,Canada,Man Tak,Cheung,,,,,(403) 283-5564,2,,Chinese,$$
47684,045fe4e81027b230,China Marble Restaurant,"Mon 10am-10pm, Tue Closed, Wed-Sun 10am-10pm",10566 97 St NW,Edmonton,AB,T5H 2L2,Canada,,,,,,,(780) 760-2808,0,,Chinese,
47685,04d4594b2ec7e900,Marra's Way Sushi,"Mon Closed, Tue-Sat Noon-3:30pm 4:30am-8pm, Sun Closed",1000 6 Ave,Canmore,AB,T1W 0H8,Canada,Kiyota,Takeshi,,,,,(403) 609-0479,1,,Japanese,$
47686,05845ea7d6d80f1b,Chinese Express,,4005 Gateway Blvd NW,Edmonton,AB,T6J 5H2,Canada,,,,,,,(780) 758-6680,0,,Chinese,
47687,05c2b82638acf792,Shijing Taste Mixer,"Mon-Fri Noon-8:30pm, Sat-Sun 4pm-8:30pm",9700 105 Ave NW,Edmonton,AB,T5H 4J1,Canada,,,,,,,(780) 420-0201,0,,Chinese,$$
47688,05e9851b8ef849d9,Shangri-La,Daily 11:30am-8pm,7309 44 St,Lloydminster,AB,T9V 2X1,Canada,,,,,,,(780) 874-6677,0,,Chinese,$
47689,05f6e7f018e11aa0,Yutaka Japanese Bistro & Bar,"Mon 5pm-9:30pm, Tue 5am-9:30pm, Wed 5pm-9:30pm, Thu 5pm-1am, Fri 5pm-2am, Sat 4:30pm-2am, Sun Closed",10532 82 Ave NW,Edmonton,AB,T6E 2A4,Canada,,,,,,,(780) 757-6836,0,,Japanese,
47690,0630b5b0786f9053,Lemongrass,,999 36 St NE,Calgary,AB,T2A 7X6,Canada,,,,,,, ,0,,Japanese,
47691,06824f2067925961,Fusion Sushi,"Mon-Fri 11am-10pm, Sat 11am-10:30pm, Sun 11am-10pm",511 McKnight Blvd NE,Calgary,AB,T2E 8P1,Canada,Jian,Wang,,,,,(587) 354-1757,1,,Japanese,$$
47692,06dd1f4f0c980b73,Midnight Sun Restaurant,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun 3pm-10pm",11003 124 St NW,Edmonton,AB,T5M 0J5,Canada,Amy,Tu,,,,,(780) 452-2282,1,,Chinese,$$
47693,073277ded99777fe,Wakado Ramen,Daily 11:30am-3pm 5pm-9pm,907 10 Ave SW,Calgary,AB,T2R 0Z9,Canada,Kelvin,Pong,,,,,(403) 457-8828,1,contact@wakadoramen.com,Japanese,$
47694,075b74146769730d,Noodle 42,Daily 11am-9pm,13847 42 St NW,Edmonton,AB,T5Y 3E1,Canada,Ninh,Hoang,,,2007,,(780) 475-6363,1,info.noodle42@gmail.com,Vietnamese; Chinese,$$
47695,0850e51d608620d1,DIVINE The Indian Cuisine,"Mon Closed, Tue-Sat 11am-9pm, Sun 11am-8pm",11215 Jasper Ave NW,Edmonton,AB,T5K 0L5,Canada,,,,,,,(780) 705-6505,0,,Indian; Chinese,$$
47696,086d132d2acb2969,Happy Rice Restaurant,,156 St NW,Edmonton,AB,T5R 1Y5,Canada,,,,,,,(780) 483-6813,0,,Canadian; Chinese,
47697,092bb48168d9b3b6,Osaka Sushi,"Mon Closed, Tue-Thu 11am-2pm 4pm-8pm, Fri 11am-2pm 4pm-8:30pm, Sat 11am-8:30pm, Sun Noon-8pm",5024 51 Ave,Bonnyville,AB,T9N 2G3,Canada,Jim,S,,,2014,,(780) 815-6000,1,,Japanese,$$
47698,09338930f968423d,Dumpling House,Daily 11am-9:30pm,864 Heritage Blvd W,Lethbridge,AB,T1K 7V5,Canada,,,,,,,(403) 942-2888,0,,Chinese,$$
47699,096b3808ee77a018,Northern Chicken,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",10704 124 St NW,Edmonton,AB,T5M 0H1,Canada,Matt,P,,,2016,,(780) 756-2239,1,,American; Cajun,$$
47700,09ebb538514037f9,Red Bowl Chinese Restaurant,"Mon-Fri 11am-9pm, Sat-Sun 4pm-9pm",205 19 Ave,Leduc County,AB,T9E 0W8,Canada,,,admin@redbowlchineserestaurant.com,,,,(780) 770-2354,0,admin@redbowlchineserestaurant.com,Chinese,$$
47701,0a850b713174c090,BaoBao,,10544 Jasper Ave NW,Edmonton,AB,T5J 1Z7,Canada,,,,,,,(587) 523-5747,0,baobaoshengjian@gmail.com,Chinese,$$
47702,0a91549e44f10652,Bao & Midnight Diner Jie You Bao Zi Pu & Shen Ye Shi Tang,,11149 87 Ave NW,Edmonton,AB,T6G 0X8,Canada,,,,,,,(780) 752-0788,0,,Chinese,
47703,0a93eb307809169b,Sushi AOI,,211 12 Ave SW,Calgary,AB,T2R 0G9,Canada,,,,,,,(587) 998-4816,0,,Japanese,
47704,0aa39876bc768ab0,Wok With Chan Rice House,"Mon-Fri 11am-10pm, Sat 4pm-10pm, Sun 4pm-9:30pm",8330 MacLeod Trl SE,Calgary,AB,T2H 2V2,Canada,,,,,,,(403) 255-7878,0,,Chinese,$$
47705,0aa3e725f76ad4a1,Tobe Teppanyaki Lounge,"Mon-Wed 4:30pm-9pm, Thu 4:30pm-9am, Fri 4:30pm-9:30pm, Sat 4pm-9:30pm, Sun 4:30pm-9pm",901 64 Ave NE,Calgary,AB,T2E 7P4,Canada,,,,,,,(403) 730-8826,0,,Japanese; Chinese,$$
47706,0afee94174a9cdab,Mt. Fuji Japanese Cuisine,Daily 11am-9pm,9940 137 Ave NW,Edmonton,AB,T5E 6W1,Canada,,,,,,,(780) 406-2065,0,restaurant@mtfuji.ca,Japanese,$$
47707,0b64d27bba87d0e8,noodleholic,"Mon 11am-9pm, Tue Closed, Wed-Thu 11am-9pm, Fri-Sun 11am-10pm",3350 Parsons Rd NW,Edmonton,AB,T6N 1B5,Canada,,,,,,,(780) 328-1868,0,,Chinese,
47708,0c1a3157e8dab7e2,Rae Mi Hyang,"Mon-Sat 11:30am-2:30pm 3am-9pm, Sun Closed",10625 51 Ave NW,Edmonton,AB,T6H 0K8,Canada,,,,,,,(780) 705-3966,0,,Korean; Chinese,$$
47709,0c2229a9803a1263,Tokyo Grille,,1011 1 St SW,Calgary,AB,T2R 1J2,Canada,,,,,,,(403) 477-6167,0,,Japanese,
47710,0c5131575a492eb8,Maki Maki,"Mon-Thu 11am-11pm, Fri-Sat 11am-Midnight, Sun 11am-11pm",8109 101 St NW,Edmonton,AB,T6E 3Y9,Canada,Ann,Chang,,,,,(780) 438-8298,1,,Japanese; Vietnamese,$$
47711,0c873383ff43174d,Oriental Wok,,402 Collegiate Blvd NW,Calgary,AB,T2N,Canada,,,,,,,(403) 456-7175,0,,Chinese,
47712,0c8b21f4baf0a891,Enjoy Garden Restaurant,"Mon-Thu 11am-8:30pm, Fri 11am-9pm, Sat 3am-8pm, Sun Closed",1208 Railway St,Crossfield,AB,T0M 0S0,Canada,Howard,Quan,,,,,(403) 946-5000,1,,Chinese,$
47713,0caee06b4f5444da,Gong Kee BBQ Noodle House,"Mon-Tue 10:30am-9:30pm, Wed Closed, Thu-Sun 10:30am-9:30pm",4527 8 Ave SE,Calgary,AB,T2A 0A7,Canada,L. I.,Marvin,,,,,(403) 235-1993,1,,Vietnamese; Chinese,$
47714,0cedae1fcdf20b35,Golden Delight Restaurant,"Mon Closed, Tue-Sun 11am-9pm",4164 Kepler St,Whitecourt,AB,T7S 0A3,Canada,Miao,Huang,,,,,(780) 778-3688,1,hongshi@gmail.com,Chinese,$$
47715,0d8a31132247cdeb,SUSHI POCKET EXPRESS,,10 Crowfoot Cir NW,Calgary,AB,T3G 2T3,Canada,,,,,,,(403) 208-9799,0,,Japanese,
47716,0e27cd560a4191a8,Wa Sushi,,10416 116 Ave,Grande Prairie,AB,T8V 4K5,Canada,Chongmin,Zhong,,,,,(780) 933-8866,1,,Korean; Japanese; Vietnamese; Chinese; Thai,$$
47717,0e313af6100eb578,Phobulous,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun 11am-10pm",8701 109 St NW,Edmonton,AB,T6G 2L5,Canada,Aileen,Jang,,,,,(780) 988-2696,1,,Vietnamese; Chinese,$$
47718,0eb8b22d9fd834be,Today's Restaurant & Pub,,5224 86 St NW,Edmonton,AB,T6E 5J6,Canada,Helen,Huang,,,,,(780) 465-6223,1,,Chinese,$$
47719,0efd5d898891785e,Wok This Way,"Mon 11:30am-9pm, Tue Closed, Wed-Fri 11:30am-9pm, Sat-Sun 3pm-9pm",4028 50 St NW,Edmonton,AB,T6L 5N3,Canada,Lu,Wen,,,,,(780) 577-0039,1,wokthiswayrestaurant@gmail.com,Chinese,$$
47720,0f4937c88b47c985,Want Want Chinese Food,,10809 82 Ave NW,Edmonton,AB,T6E 2B2,Canada,,,,,,,(587) 525-0968,0,,Chinese,$$
47721,0f6430e10a5a17a3,J&A Chinese Restaurant,"Mon Noon-8:30pm, Tue Closed, Wed-Sun Noon-8:30pm",18 Southridge Dr,Okotoks,AB,T1S 1N1,Canada,Duong,Au,,,,,(403) 938-7772,1,,Chinese,$$
47722,0fc7a855c4fca8dc,Sings Restaurant,"Mon Closed, Tue-Sun 11am-9pm",408 Main St,Manning,AB,T0H 2M0,Canada,,,,,,,(780) 836-3159,0,,Chinese,$$
47723,0fdeee62d668c7a2,House of Mein,,10842 Jasper Ave NW,Edmonton,AB,T5J 2B2,Canada,,,,,,,(780) 756-6637,0,,Chinese,
47724,104f87e3bb3bdbd8,Kobe Beef,Daily 10am-8pm,2500 University Dr NW,Calgary,AB,T2N 1N4,Canada,Dominic,Wong,,,,,(403) 284-2110,1,,Japanese,
47725,10571ae19cf9c4d7,Fusion Sushi,Daily 11am-3:30pm,1137 17 Ave SW,Calgary,AB,T2T 0B6,Canada,Bao,Chen,,,,,(587) 351-3818,1,,Japanese; Chinese,$$
47726,10d0f7832bc8e348,Golden Jade Palace Seafood & Dim Sum Restaurant,Daily 10am-10pm,1110 Panatella Blvd NW,Calgary,AB,T3K 0S6,Canada,,,,,,,(403) 730-1888,0,,Chinese,$$
47727,10df57516032336b,Imperial Dragon,"Mon-Fri 11am-9pm, Sat 4pm-9pm, Sun 11am-9pm",1014 Westridge Rd,Strathmore,AB,T1P 1H8,Canada,Helmut,Sonnenberg,,,,,(403) 934-9963,1,,Chinese,$$
47728,1104f03b97a1a86d,Wing's Fine Foods To Go,Daily 4pm-2am,464 Woodbine Blvd SW,Calgary,AB,T2W 5H7,Canada,Jon,Figliomeni,,,1989,,(403) 251-7888,2,wingsfinefoodstogo@gmail.com,Chinese,$$
47729,111a40cbd846fb12,Skyway Family Restaurant,"Mon 11am-9pm, Tue Closed, Wed-Sun 11am-9pm",6102 48 Ave,Camrose,AB,T4V 0K5,Canada,,,,,,,(780) 672-8363,0,,Chinese; Thai,$$
47730,112cdc8c2e6e8eb3,Tokyo Noodle Shop,"Mon-Thu 11:30am-9:30pm, Fri-Sat 11:30am-10:30pm, Sun 11:30am-9pm",10736 82 Ave NW,Edmonton,AB,T6E 6P4,Canada,Donovan,Webber,,,,,(780) 430-0838,1,,Japanese,$$
47731,118705a923a096e0,Oriental Dim Sum,Daily 10am-9pm,8882 170 St NW,Edmonton,AB,T5T 4J2,Canada,Sachin,Joshi,sachin.joshi@wem.ca,,,,(780) 444-3008,5,,Chinese,
47732,11bd8b0fb9500b34,Towa Sushi,"Mon Closed, Tue-Thu Noon-9pm, Fri-Sat Noon-10pm, Sun Noon-8:30pm",8560 8A Ave SW,Calgary,AB,T3H 1T1,Canada,Yan,Ding,,,,,(403) 727-4383,1,,Japanese,$$
47733,1223d97ec12d3877,Tsuki Japanese Restaurant,"Mon Closed, Tue-Fri 11:30am-2:30pm 4pm-8:30pm, Sat Noon-2:30pm 4am-9pm, Sun Closed",94 8 St NW,Medicine Hat,AB,T1A 6P1,Canada,L. I.,John,,,,,(403) 526-8098,1,,Japanese,$$
47734,1247bdd905ddd835,The 90's Restaurant,"Mon-Fri Noon-2pm 4am-8pm, Sat Closed, Sun Noon-2pm 4am-8pm",204 Main St,Oyen,AB,T0J 2J0,Canada,Long,Ly,,,,,(403) 664-2008,1,,Chinese,
47735,12b2165ae9881de9,P & L Chinese Restaurant,Daily 11am-10pm,10425 100 Ave NW,Edmonton,AB,T5J 0A3,Canada,,,,,,,(780) 413-8898,0,,Chinese,$$
47736,12c8e253a39c9c50,Mimi's Restaurant,,1624 Mayor Magrath Dr S,Lethbridge,AB,T1K 2R5,Canada,,,,,,,(403) 381-3366,0,,Chinese,$
47737,130755d45f7e9b76,Phoenix Gate Chinese Cuisine,Daily 10am-10pm,1518 Centre St N,Calgary,AB,T2E 2R9,Canada,Choi,Fook-Shoong,,,2017,,(403) 520-8098,2,phoenixgatechinesecuisine@hotmail.com,Chinese,$$
47738,133feb054b3de159,Teriyaki Corner,"Mon Noon-2:30pm 4:30am-8:30pm, Tue Noon-2:30pm 4:30am-8pm, Wed Noon-2:30pm 4:30am-8:30pm, Thu-Sat 11:30am-9pm, Sun Noon-8pm",1064 91 St SW,Edmonton,AB,T6X 0P2,Canada,,,contact@teriyakicorner.com,,,,(780) 484-6325,0,contact@teriyakicorner.com,Japanese,$$
47739,1353b9e7df7dd52a,Indian Accent,"Mon 11am-10pm, Tue Closed, Wed-Sun 11am-10pm",288 St Moritz Dr SW,Calgary,AB,T3H 0Z1,Canada,,,indianaccentyyc@gmail.com,,,,(403) 455-0552,0,indianaccentyyc@gmail.com,Indian; Chinese,$$
47740,13703327ba609c8c,Chili Island,"Mon-Fri 11am-10pm, Sat-Sun Noon-10pm",4600 130 Ave SE,Calgary,AB,T2Z 0C2,Canada,Cui,Zeng,,,,,(403) 726-0733,1,,Chinese; Thai,$$
47741,139f5005d0a04b0f,Mondays Plant Cafe,,208 4 St NE,Calgary,AB,T2E 3S2,Canada,,,hello@mondaysplantcafe.com,,,,(825) 222-9080,0,hello@mondaysplantcafe.com,Japanese,$
47742,13c102900b3554e4,Chicken Avenue,"Mon 3pm-10pm, Tue-Thu 11am-11pm, Fri 11am-11:30pm, Sat 11:30am-11:30pm, Sun 11:30am-9pm",128 2 Ave SE,Calgary,AB,T2G 5J5,Canada,,,,,,,(403) 454-4514,0,ca.chickenavenue@gmail.com,Chinese,$$
47743,142ad8f9c17cb642,Central Grand Restaurant,Daily 10am-3pm 5pm-10pm,1623 Centre St N,Calgary,AB,T2E 8S7,Canada,,,,,,,(403) 277-2000,0,,Chinese,$$
47744,143bc9a8b18c6963,Great Wall,"Mon-Thu 11:30am-3pm, Fri-Sun Closed",4908 43 Ave,Innisfail,AB,T4G 1V6,Canada,Wei,Zheng,,,,,(403) 227-3358,1,,Chinese,$$$
47745,14801018919448bf,Asian Buffet,"Mon-Thu 11:30am-3:30pm 4:30pm-9:30pm, Fri-Sun 11:30am-3:30pm 4:30pm-10pm",9125 Bonaventure Dr SE,Calgary,AB,T2J 0P9,Canada,Elle,Jiang,,,,,(403) 252-6888,1,info@asianbuffet328.com,Japanese; Chinese,$$
47746,149f4d69ddae5db6,SkyWay Kitchen,"Mon Closed, Tue-Thu 11am-2pm 3:30pm-8:30pm, Fri 11am-9pm, Sat Noon-9pm, Sun 3pm-8pm",5009 Parkwood Rd,Blackfalds,AB,T0M 0J0,Canada,,,,,,,(403) 600-1466,0,,Chinese; Thai,$
47747,14fa7e9472f7ae82,Fu's Repair Shop,"Mon-Tue Closed, Wed 5pm-10pm, Thu 5pm-Midnight, Fri-Sat 5pm-2am, Sun 5pm-10pm",10524 Jasper Ave NW,Edmonton,AB,T5J 1Z7,Canada,,,,,,, ,0,hello@fusrepairshop.ca,Chinese,$$
47748,152f08bfd31afe36,Szechuan Village,"Mon 3pm-10pm, Tue-Sat 3pm-11pm, Sun 3pm-10pm",7906 118 Ave NW,Edmonton,AB,T5B 0R6,Canada,Kim,Ly,,,,,(780) 474-1919,1,dennisli@live.ca,Chinese,$$
47749,154d8a4ff4c75b63,Win Garden,Daily 11am-10pm,130 Sierra Springs Dr SE,Airdrie,AB,T4B 3G6,Canada,Ciang,Liang,,,,,(587) 360-0688,1,,Chinese,$
47750,157564da5354905f,Rice to Go,Daily 11:30am-9pm,6919 172 St NW,Edmonton,AB,T5T 5Y1,Canada,,,,,,,(780) 341-8888,0,,Chinese,
47751,1576e26b1270fbb6,Calgary Court Restaurant,"Mon-Thu 9am-9pm, Fri-Sun 9am-10pm",119 2 Ave SE,Calgary,AB,T2G 0B2,Canada,Decade,Or,,,,,(403) 264-7890,1,,Chinese,$
47752,158a36536a5c07ea,Sushi Bistro,Daily 11:30am-9:15pm,208 Caribou St,Banff,AB,T1L 1B4,Canada,,,banffsushibistro@hotmail.com,,,,(403) 762-4000,0,banffsushibistro@hotmail.com,Japanese,$$
47753,158f62562dd5131e,Wok N' Go,"Mon-Thu 4pm-9:30pm, Fri-Sat 4pm-10pm, Sun 4pm-9:30pm",13530 Victoria Trl NW,Edmonton,AB,T5A 5C9,Canada,Maria,Tam,,,,,(780) 413-8080,1,info@wokngo.ca,Chinese,$$
47754,15a07f1395e39f42,WholeLifeGo,"Mon-Thu 9am-7:30pm, Fri-Sat 9am-8pm, Sun Noon-7:30pm",340 14 St NW,Calgary,AB,T2N 1Z7,Canada,,,,,,,(587) 352-5433,0,info@wholelifego.com,Japanese,$$
47755,15c3aa3ca30cf084,Donburi Japanese Cuisine,,2335 162 Ave SW,Calgary,AB,T2Y 4S6,Canada,,,,,,,(403) 719-9668,0,,Japanese,
47756,15f8c387c71a9a5d,Buffet Royale Carvery,Daily 11am-9pm,957 Fir St,Strathcona County,AB,T8A 4N6,Canada,Conrad,Werenka,,,2001,,(780) 416-3663,1,admin@buffetroyale.com,Ukrainian; Chinese,$$
47757,1610cb2578e8f138,Yakisoba Corner,,5728 75 St NW,Edmonton,AB,T6E 5X6,Canada,,,,,,,(780) 757-9888,0,,Japanese,
47758,16904cd31379741f,Monsieur Wongs,"Mon Closed, Tue-Sun 11:30am-9pm",3515 50 Ave,Red Deer,AB,T4N 3Y5,Canada,,,,,,,(403) 347-5320,0,,American; Chinese,$$
47759,17410957dd137e19,Hing Lung,Daily 10am-7pm,9715 106 Ave NW,Edmonton,AB,T5H 4K8,Canada,Chuck,Y. Gong,,,,,(780) 425-0283,1,,Chinese,$
47760,17dd00f93d7ed8bd,Yang Ming Buffet,Daily 11:30am-8:30pm,3414 118 Ave NW,Edmonton,AB,T5W 0Z4,Canada,Albert,Mah,,,2016,,(780) 752-7888,1,info@yangmingbuffet.com,Japanese; Chinese,$$
47761,187d320b4ab0727c,Joy Ho Chinese Foods,Daily 9am-10pm,6723 118 Ave NW,Edmonton,AB,T5B 0P2,Canada,Joy,Ho,,,,,(780) 471-2688,1,info@joyhochinesefood.com,Chinese,$
47762,18823a5b528a584e,Winton Restaurant Chinese Food,"Mon-Thu 10am-10pm, Fri-Sat 10am-11pm, Sun 4pm-10pm",5268 Memorial Dr E,Calgary,AB,T2A 2R1,Canada,,,,,,,(403) 273-4363,0,,Chinese,$$
47763,18d95fc8a3f06019,Phoenix Asian Buffet,Daily Noon-10pm,190 Kananaskis Way,Canmore,AB,T1W 3K5,Canada,Kwong,lo,,,,,(403) 675-3888,1,,Japanese; Chinese,$$$
47764,1932b7e2e27fc263,Polar Bear Kitchen,"Mon Closed, Tue-Thu 11am-7:30pm, Fri 11am-9pm, Sat Noon-9pm, Sun Closed",328 Centre St S,Calgary,AB,T2G 4X6,Canada,,,,,,,(403) 269-8399,0,,Chinese,
47765,195ba9f1c5fcb5b9,CHOP CHOP Restaurant,"Mon 11am-9pm, Tue Closed, Wed-Sun 11am-9pm",20125 Lessard Rd NW,Edmonton,AB,T6M 0T9,Canada,,,edmontonchopchop@gmail.com,,,,(780) 760-2467,0,edmontonchopchop@gmail.com,Chinese,
47766,19645d60a0c1192d,Tasty House Chinese & Japanese Noodle Restaurant,"Mon-Thu 11am-10pm, Fri 11am-9pm, Sat-Sun 11am-10pm",11113 87 Ave NW,Edmonton,AB,T6G 0X8,Canada,,,,,,,(587) 635-6088,0,info@tastyhouse.ca,Japanese; Chinese,
47767,19cac6d0a9b63297,Sun's BBQ Restaurant,"Mon-Thu 10:30am-9pm, Fri-Sun 10:30am-11pm",1423 Centre St N,Calgary,AB,T2E 2R8,Canada,Wai,Chan,,,,,(403) 230-8890,1,,Chinese,$$
47768,1a288a795a2d0185,Hello Sunshine,"Mon-Fri 4:30am-9:30pm, Sat 4am-10pm, Sun 4:30am-9:30pm",208 Wolf St,Banff,AB,T1L 1B3,Canada,,,info@hellosunshinebanff.com,,,,(403) 985-7225,0,info@hellosunshinebanff.com,Japanese,
47769,1a35375847396b85,Dookbaeki Wem,"Mon-Sat 11am-8:30pm, Sun 11am-6:30pm",8882 170 St NW,Edmonton,AB,T5T 4M2,Canada,,,dookbaeki.wem@gmail.com,,,,(780) 244-1906,0,dookbaeki.wem@gmail.com,Japanese,$$
47770,1a45e97ebe13b818,OMO Teppan and Kitchen,"Mon-Fri 5pm-9pm, Sat-Sun 4pm-9pm",5222 MacLeod Trl SW,Calgary,AB,T2H 0J2,Canada,Eric,S,,,2018,,(403) 764-3222,2,info@omoteppan.com,Japanese,$$
47771,1a6b3cc7a1fedce0,Kazoku Ramen,,16518 100 Ave NW,Edmonton,AB,T5P 4Y2,Canada,,,kazokuramenedmonton@gmail.com,,,,(780) 483-0448,0,kazokuramenedmonton@gmail.com,Japanese,$$
47772,1ac661f606b772d4,Prairie Asian Bistro,Daily 11am-10pm,10011 101 Ave,Grande Prairie,AB,T8V 0X9,Canada,,,,,,,(587) 495-2178,0,,Chinese,
47773,1add0a40a9ba5c9f,Takumi Sushi,"Mon-Thu 11:30am-9pm, Fri-Sat 11:30am-10pm, Sun 11:30am-9pm",150 Crowfoot Cres NW,Calgary,AB,T3G 3T2,Canada,Calix,Chung,,,,,(403) 475-2010,1,,Japanese,$$
47774,1b569334e131d94d,Kings Garden Noodle House,"Mon-Thu 4pm-9:30pm, Fri-Sat 4pm-10:30pm, Sun 4pm-9:30pm",5657 Riverbend Rd NW,Edmonton,AB,T6H 5K4,Canada,Qi,Huang,,,,,(780) 435-5730,1,,Chinese,$$
47775,1b6026a3c124462a,Japanese Village,"Mon Closed, Tue-Fri 5am-9:30pm, Sat-Sun 4:30am-9:30pm",317 10 Ave SW,Calgary,AB,T2R 0A5,Canada,John,Arasakai,,,,,(403) 262-2738,1,info@japanese-village.ca,American; Japanese,$$
47776,1b666663a7c47ffb,Ken's Place Restaurant,"Mon Closed, Tue-Sun 3:30pm-8:30pm",801 Glengarry St,Carbon,AB,T0M 0L0,Canada,,,,,,,(403) 572-0055,0,,Chinese,
47777,1b6d0c488d8b21c6,Don's Dining,"Mon 3:30pm-9pm, Tue-Thu 11am-10pm, Fri-Sat 11am-10:30pm, Sun Noon-9:30pm",9840 97 Ave,Grande Prairie,AB,T8V 7K2,Canada,Don,Wong,,,,,(780) 513-2888,1,donsdining@gmail.com,Chinese,$
47778,1ba5f3855b518d1b,Red Ginger Restaurant,Daily 11am-8pm,4812 50 Ave,Lloydminster,AB,T9V 0W5,Canada,Lester,Jones,,,,,(780) 808-8383,1,,Chinese,
47779,1bbf2f49f9b9f801,Sizzling House Restaurant,"Mon Closed, Tue-Thu 11am-8pm, Fri 11am-9pm, Sat Noon-9pm, Sun Noon-8pm",1513 Broadway Ave E,Redcliff,AB,T0J 2P0,Canada,Terry,Lei,,,,,(403) 528-3388,1,sizzlinghouse06@gmail.com,Chinese,$$
47780,1c522a5320800bdc,Happy Rice Restaurant,,96 Campsite Rd,Spruce Grove,AB,T7X 4J3,Canada,,,,,,,(780) 988-6883,0,,Canadian; Chinese,
47781,1c8434c7e31442c5,Kabuki Sushi & Grill,"Mon-Tue 5pm-Midnight, Wed Closed, Thu 5pm-Midnight, Fri 5pm-1am, Sat 5pm-Midnight, Sun 5pm-11pm",8724 109 St NW,Edmonton,AB,T6G 1E9,Canada,Hyeokjong,Kwon,,,,,(780) 437-0077,1,,Japanese,$$
